1,2.7738333852866015
2,2.1456336888034273
3,2.614972949356177
4,2.7306337248417063
5,2.637845155793809
6,2.9626974668673434
7,2.56022936693943
8,2.54247025428798
9,2.718849949447971
10,2.8331760512624364
1,2.7384817969287276
2,2.7079567420647788
3,2.820114683617194
4,2.3466532680661922
5,3.22343317528631
6,2.7836019788044943
7,2.7467620078878547
8,2.27485620876773
9,3.0008079223391237
10,2.7275843336191907
1,2.506293658454183
2,2.751899461596835
3,2.7432314755325153
4,2.4630088552702025
5,2.7925232430451934
6,2.8073329364599666
7,3.12253727152312
8,2.4516439078729952
9,2.5920868279182683
10,2.8669609478393485
