Epoch,Iteration,nu,beta,eta,tau,error
0,9,0.646987607050687,0.6727501832181588,0.1976093826832948,0.017260483679710885,2.1762043737806245
1,11,1,0.5,0.2100903833895263,0.035343522089491,2.7273539523044645
0,10,0.9417615735204891,0.5999567237566226,0.15360654518706726,0.059810675871558486,3.1110833928104036
2,12,1,1,0.08137303321266742,0.075,3.199412556161325
0,1,0.3249732100171968,0.872592581412755,0.10047378213261254,0.03718664532294497,3.312318324608002
0,2,0.7884489365620538,0.9074789858190343,0.2208431863342412,0.06210698162787594,3.4380194326978444
0,7,0.4059619573643431,0.6367365472251549,0.07336860112496651,0.039670442639035165,3.4929283505595192
0,8,0.5816425045253709,0.508590339391958,0.1181961677171057,0.06871896504540928,3.767950508703641
0,6,0.1273691293084994,0.8116885466966778,0.17054194334778003,0.047593395198346114,4.705606015578044
0,3,0.8252621649298817,0.7730347919859923,0.026865789861185478,0.022812190862023272,72.9963615228383
0,4,0.0947537201223895,0.9868013332481496,0.05717256421514322,0.006852780354092829,90.6666749848164
0,5,0.25457996015902606,0.7133904862334021,0.014172306336695329,0.014189134680200367,169.60921881549163
